,name,aroma,colour,country_of_origin,family,flavour,ingredients,producers,region,rind,texture,type,vegetarian,synonyms,fat_content,alternative_spellings,calcium_content,fat_content_(in_dry_matter)
11,ackawi,"mild, milky",white,"cyprus, jordan, lebanon, palestine and syria",feta,"mild, milky, salty","pasteurized cow's, goat's or sheep's milk","fromagerie polyethnique, karoun dairies inc.",aker,natural,"elastic, smooth and springy","soft, brined",no,,,"ackawi, akawi, akawieh, akkawi",,
12,acorn,fruity,,united kingdom,,"burnt caramel, citrusy, herbaceous",unpasteurized sheep's milk,little acorn products,bethania,,crumbly and firm,"hard, artisan",yes,,52%,,,
13,adelost,strong,blue,sweden,blue,"salty, sharp, tangy",pasteurized cow's milk,,,natural,creamy,"semi-soft, blue-veined",yes,,50%,,,
14,adl-brick-cheese,"buttery, sweet",ivory,canada,cheddar,"buttery, mild, milky, subtle",pasteurized cow's milk,adl - amalgamated dairies limited,prince edward island,rindless,"elastic, firm, open and soft",semi-soft,,,12%,,,
15,adl-mild-cheddar,,yellow,canada,cheddar,"acidic, buttery, milky, subtle",pasteurized cow's milk,adl - amalgamated dairies limited,prince edward island,rindless,firm and springy,semi-hard,,,14%,,,
16,affidelice-au-chablis,"perfumed, strong",orange,france,,"fruity, mild, tangy",pasteurized cow's milk,fromagerie berthaut,burgundy,washed,creamy and smooth,soft,no,,55%,,26 mg/100g,
17,affineur-walo-le-gruyere-aoc-extra-mature,"floral, fruity",yellow,switzerland,swiss cheese,"crunchy, floral, fruity, full-flavored, pronounced, spicy",unpasteurized cow's milk,affineur walo of mühlenen,gruyère,natural,crystalline,"hard, artisan",,"affineur walo gruyère extra-spicy 14 months hollow-ripened, affineur walo gruyère extra würzig 14 monate höhlen-gereift",,,,
18,affineur-walo-rotwein-sennechas,"pungent, rich, strong",cream,switzerland,swiss cheese,"creamy, pronounced, spicy, sweet",unpasteurized cow's milk,affineur walo of mühlenen,bern,washed,smooth,"hard, artisan",no,"affineur walo red wine farmer, affineur walo red wine sennechäs",59%,,,
19,afuegal-pitu,,red,spain,,"spicy, strong",pasteurized or unpasteurized cow's milk,,asturias,cloth wrapped,smooth,"soft, artisan",no,,45%,,,
20,aged-british-cheddar,smokey,pale yellow,united states,cheddar,sharp,unpasteurized cow's milk,muranda cheese company,ny,natural,"crumbly, crystalline and flaky","hard, artisan",,,,,,
21,aged-cashew-blue-green-algae-cheese,rich,blue,united states,,"creamy, mellow, oceanic, tangy",,dr. cow tree nut cheese,brooklyn ny,,firm and spreadable,"firm, artisan",yes,,,,,
22,aged-cashew-brazil-nut-cheese,"nutty, rich",brown,united states,,"creamy, nutty, sweet",,dr. cow tree nut cheese,brooklyn ny,,firm and spreadable,"firm, artisan",yes,,,,,
23,aged-cashew-dulse-cheese,rich,brown,united states,,"creamy, oceanic",,dr. cow tree nut cheese,brooklyn ny,,firm and spreadable,"firm, artisan",yes,,,,,
24,aged-cashew-hemp-seed-cheese,"nutty, rich",brown,united states,,"creamy, mild, nutty, spicy",,dr. cow tree nut cheese,brooklyn ny,,firm and spreadable,"firm, artisan",yes,,,,,
25,aged-cashew-nut-cheese,"clean, fresh, nutty",golden yellow,united states,,"creamy, nutty, subtle",,dr. cow tree nut cheese,brooklyn ny,,firm and spreadable,"firm, artisan",yes,,,,,
26,aged-cashew-nut-kale-cheese,rich,green,united states,,"creamy, oceanic, tangy",,dr. cow tree nut cheese,brooklyn ny,,firm and spreadable,"firm, artisan",yes,,,,,
27,aged-chelsea,goaty,ivory,united states,,"acidic, buttery, sweet",pasteurized goat's milk,zingermans.com llc,"ann arbor, michigan",mold ripened,creamy and spreadable,soft,no,,,,,
28,aged-gouda,"rich, ripe",yellow,netherlands,gouda,"burnt caramel, full-flavored","pasteurized or unpasteurized cow's, goat's or sheep's milk",,"south holland, gouda",waxed,"brittle, crumbly, crystalline and flaky","hard, artisan, brined, processed",no,"jong belegen gouda, belegen gouda, extra belegen gouda, oud gouda, overjarig gouda, five-year aged gouda, gouda, aged four years",31 g/100g,,958 mg/100g,76%
29,aggiano,fruity,cream,united states,,"butterscotch, tangy",pasteurized cow's milk,beehive cheese company,utah,,creamy and dry,"hard, artisan",yes,,,,,
30,ailsa-craig,goaty,white,scotland and united kingdom,,creamy,pasteurized goat's milk,dunlop dairy,stewarton,rindless,creamy and fluffy,"semi-soft, artisan",yes,,,,,
31,airag,,,mongolia and turkey,,sour,mare's milk,,,rindless,creamy,"soft, artisan",no,kumis,,ayrag,,
32,airedale,"grassy, strong",pale yellow,new zealand,,"full-flavored, milky, salty, tangy",pasteurized cow's milk,whitestone cheese,airedale farming district,waxed,smooth,"semi-soft, artisan",yes,,,,,
33,aisy-cendre,"earthy, nutty, smokey",white,france,,"full-flavored, herbaceous, salty, smokey",unpasteurized cow's milk,,burgundy,washed,creamy and smooth,"semi-soft, smear-ripened",no,"cendre d'aisy, ashen aisy",50%,,,
34,allgauer-emmentaler,pungent,yellow,germany,,nutty,unpasteurized cow's milk,,swabia,natural,firm,hard,no,,45%,,,
35,allium-piper,"fresh, garlicky, spicy",white,australia,,"garlicky, spicy",pasteurized goat's milk,woodside cheese wrights,south australia,,creamy and soft,"fresh soft, artisan",yes,"woodside chevre - allium piper, woodside allium piper",45%,,,
36,alma-vorarlberger-alpkase-3-5-months,"mild, spicy",yellow,austria,,"mild, spicy",unpasteurized cow's milk,alma,vorarlberg,natural,firm,"hard, artisan",no,vorarlberg alpine cheese 3-5 months,34%,,,
37,alma-vorarlberger-alpkase-6-9-months,"spicy, strong",yellow,austria,,"spicy, strong",unpasteurized cow's milk,alma,vorarlberg,natural,firm,"hard, artisan",no,vorarlberg alpine cheese 6-9 months,34%,,,
38,alma-vorarlberger-bergkase-10-months,"aromatic, strong",yellow,austria,,"piquant, spicy, strong, tangy",unpasteurized cow's milk,alma,"bregenzerwald, kleinwalsertal, großwalsertal, laiblachtal (pfänderstock) and rheintal",natural,"brittle, firm, flaky and open","hard, artisan",no,,34%,vorarlberger bergkase 10 months,,
39,alma-vorarlberger-bergkase-12-months,"aromatic, strong",yellow,austria,,"piquant, spicy, strong, tangy",unpasteurized cow's milk,alma,"bregenzerwald, kleinwalsertal, großwalsertal, laiblachtal (pfänderstock) and rheintal",natural,"brittle, firm, flaky and open","hard, artisan",no,,34%,vorarlberger bergkase 12 months,,
40,alma-vorarlberger-bergkase-6-months,aromatic,cream,austria,,"piquant, spicy, tangy",unpasteurized cow's milk,alma,"bregenzerwald, kleinwalsertal, großwalsertal, laiblachtal (pfänderstock) and rheintal",natural,"firm, open and supple","hard, artisan",no,,34%,vorarlberger bergkase 6 months,,
41,almnas-tegel,"fruity, sweet",straw,sweden,,"caramel, fruity, nutty",unpasteurized cow's milk,almnäs bruk,västra götaland,washed,open and smooth,"hard, smear-ripened",no,,,,,
42,alpe-di-frabosa,"milky, mushroom",,italy,,bitter,cow's milk,,,,,semi-soft,no,,,,,
43,alpha-tolman,"fruity, nutty",yellow,united states,swiss cheese,"buttery, caramel, fruity, full-flavored, nutty",unpasteurized cow's milk,jasper hill farm,"greensboro, vt",washed,"dense, elastic and smooth","semi-hard, artisan",,,,,,
44,alpicreme,,,france,,,goat's milk,,,,,soft,no,,,,,
45,alpine-gold,"earthy, floral, rich",cream,canada,,"floral, grassy, savory",pasteurized cow's milk,the farm house natural cheeses,british columbia,washed,supple,"semi-soft, brined",no,,,,,
46,alpine-style,rich,yellow,united states,swiss cheese,"buttery, smooth",unpasteurized cow's milk,fuzzy udder creamery,maine,natural,"creamy, crumbly, open and smooth","semi-hard, artisan",,,,,,
47,alps-rebel,"fruity, lactic, milky, nutty",yellow,austria,,"buttery, citrusy, milky, piquant",unpasteurized cow's milk,sulzberger käserebellen sennerei gmbh,sulzberg,natural,creamy and open,"semi-hard, artisan",,alpenrebell,48%,,,
48,alta-badia,,,italy,,"milky, sharp, tangy",pasteurized cow's milk,mila latte montagna alto adige,,,firm,semi-soft,no,,33.5  g/100g,,,
49,alverca,,,portugal,,,pasteurized goat's and sheep's milk,,,,,semi-hard,no,,40-50%,,,
50,amablu-blue-cheese,,,united states,blue,tangy,unpasteurized cow's milk,caves of faribault,,,crumbly,"semi-soft, artisan, blue-veined",no,,,,,
51,amalthee,"goaty, grassy, mild, sweet",,france,,"grassy, mild, sweet",goat's milk,,charentes-poitou,bloomy,,"soft, soft-ripened",no,,,,,
52,amarelo-de-beira-baixa,"aromatic, buttery",yellow,portugal,,"bitter, buttery, earthy, grassy, spicy, tangy",goat's and sheep's milk,,beira baixa province,,firm,"semi firm, artisan",no,yellow cheese from the lower beira,45-60%,,,
53,ambert,"fruity, strong, woody",blue,france,blue,"savory, sharp, smooth, tangy",pasteurized or unpasteurized cow's milk,,"auvergne, rhône-alpes",natural,"creamy, dense and supple","semi-soft, artisan, blue-veined",no,,50%,fourme d'ambert,,
54,ameribella,"earthy, grassy, lactic",straw,united states,,"mushroomy, salty, savory, sweet",cow's milk,,indiana,washed,"creamy, runny, smooth and spreadable","semi-soft, artisan",,arabella,,,,
55,american-cheese,,yellow,united states,,"creamy, mild",pasteurized cow's milk,kraft foods company,,rindless,creamy and smooth,"semi-soft, processed",no,,,,,
56,ami-du-chambertin,,white,france,,"buttery, sharp",pasteurized or unpasteurized cow's milk,,"gevrey-chambertin, burgundy",washed,smooth,"semi-soft, artisan, brined",no,l'ami du chambertin,45%,,,
57,amish-frolic,grassy,pale yellow,united states,,"grassy, nutty, sweet",unpasteurized cow's milk,bobolink dairy,"milford, nj",natural,flaky and open,"hard, artisan",no,,,,,
58,amou,,golden yellow,france,,,unpasteurized sheep's milk,,"amou, gascony",,,firm,no,"l'amou, amu",45%,,,
59,amsterdammer-british-columbia,"aromatic, buttery",pale yellow,canada,,"buttery, creamy",,natural pastures cheese company,"comox valley, vancouver island",natural,buttery and creamy,"semi-soft, firm",no,,30%,,,
60,amul-cheese-spread,,pale yellow,india,,"creamy, salty, savory, spicy",pasteurized cow's milk,gujarat cooperative milk marketing federation (amul),gujarat,artificial,creamy and spreadable,"soft, processed",yes,,18-20%,,,
61,amul-emmental,nutty,yellow,india,swiss cheese,sweet,pasteurized cow's milk,gujarat cooperative milk marketing federation (amul),gujarat,artificial,firm and open,semi-hard,yes,,46%,,488 mg/100g,
62,amul-gouda,mild,yellow,india,gouda,"fruity, sweet",pasteurized cow's milk,gujarat cooperative milk marketing federation (amul),gujarat,plastic,"compact, dense, firm and springy",semi-hard,yes,,46%,,492 mg/100g,
63,amul-pizza-mozzarella-cheese,pleasant,yellow,india,mozzarella,salty,pasteurized cow's milk,gujarat cooperative milk marketing federation (amul),gujarat,artificial,elastic and stringy,"semi-soft, processed",yes,,30-40%,,492 mg/100g,
64,amul-processed-cheese,,yellow,india,cheddar,"buttery, creamy, salty",pasteurized cow's or water buffalo's milk,gujarat cooperative milk marketing federation (amul),gujarat,artificial,crumbly and dense,"hard, processed",yes,,26%,,343 mg/100g,
65,anari,,white,cyprus,cottage,"creamy, mild, salty",pasteurized goat's or sheep's milk,,island wide,natural,"brittle, creamy and flaky","fresh soft, hard, artisan",,"dry anari, fresh anari",8%,,,
66,anejo-enchilado,strong,white,mexico,,"salty, sharp, spicy, strong",pasteurized cow's or goat's milk,cacique,,,crumbly and firm,semi-hard,no,"añejo, queso añejo",,,,
67,anneau-du-vic-bilh,"earthy, nutty, smokey",white,france,cottage,"acidic, nutty, salty, smokey",unpasteurized goat's milk,,pyrenees-atlantiques,,creamy and smooth,"soft, artisan",no,,45%,,,
68,anniversary-ale-cheddar,"floral, fruity",,united states,cheddar,"creamy, mild, sweet",pasteurized cow's milk,rogue creamery,northwest,,dense and firm,"semi-hard, artisan",yes,,,,,
69,anster,"milky, rich",ivory,scotland,,milky,unpasteurized cow's milk,st andrews farmhouse cheese company,fife,,crumbly and dry,"semi-hard, artisan",,red anster,,,,
70,anthotyro,strong,white,greece,,"salty, tangy",unpasteurized goat's and sheep's milk,christakis greek cheeses,"macedonia, thrace, thessalia, peloponissos, ionian islands, aegean islands, crete island and epirus",natural,crumbly,"hard, whey",no,"anthotyro fresco, mizithra",30%,"antotiro, anthotiro",318 mg/100g,
71,anthotyro-fresco,,white,greece,,sweet,unpasteurized goat's and sheep's milk,,"macedonia, thrace, thessalia, peloponissos, ionian islands, aegean islands, crete island and epirus",rindless,creamy and smooth,"semi-soft, whey",,"fresh anthotyro, anthotiro",20%,,318 mg/100g,
72,aphrodite-haloumi,strong,white,cyprus,pasta filata,"lemony, salty, tangy",pasteurized goat's and sheep's milk,cheese slices,"nicosia, cyprus",rindless,"chewy, creamy, elastic and firm","semi-soft, artisan, brined",,,,,,
73,appalachian,"earthy, grassy, lactic",white,united states,tomme,"buttery, lemony, mushroomy",unpasteurized cow's milk,meadow creek dairy,virginia,mold ripened,firm,"semi-soft, artisan",,,,,,
74,appenzeller,mild,straw,switzerland,,"fruity, spicy, tangy",cow's milk,,appenzell,washed,"firm, open and smooth","hard, artisan, smear-ripened",no,,,"appenzeller extra, appenzeller surchoix, appenzeller classic",,
75,apple-walnut-smoked,"nutty, smokey, sweet",yellow,united states,cheddar,"nutty, smokey , sweet",pasteurized cow's milk,beehive cheese company,utah,,creamy and smooth,"hard, artisan",yes,"smoked apple walnut, promontory apple walnut smoked",,,,
76,applebys-double-gloucester,"subtle, sweet",golden yellow,"england, great britain and united kingdom",,"mellow, milky, nutty, subtle, tangy",unpasteurized cow's milk,"appleby's, neal's yard dairy",gloucestershire,natural,"crumbly, dense, firm, flaky and smooth","hard, artisan",yes,,54.23 g/100g,,,
77,applewood,smokey,yellow,"england, great britain and united kingdom",cheddar,"smokey , spicy",pasteurized cow's milk,ilchester cheese company,somerset,natural,crumbly and dense,semi-hard,yes,applewood smoked cheddar,,,,
78,applewood-smoked-chevre,woody,white,united states,,subtle,pasteurized goat's milk,haystack mountain goat dairy,colorado,rindless,"creamy, crumbly and firm","semi-soft, artisan",yes,,,,,
79,aradalen,,ivory,sweden,blue,sweet,unpasteurized cow's milk,oviken cheese,oviken,mold ripened,creamy,"soft, artisan, blue-veined",,,34%,,,
80,aragon,,,spain,,,"pasteurized or unpasteurized cow's, goat's and sheep's milk",grupo la pardina,aragon,,,,yes,,,,,
81,ardi-gasna,fresh,pale yellow,france,,"mild, nutty, sharp",unpasteurized sheep's milk,,midi-pyrénées,washed,firm and supple,"hard, artisan",no,,45%,,,
82,ardrahan,"earthy, pungent",yellow,ireland,,"acidic, buttery, nutty",pasteurized cow's milk,ardrahan dairy products ltd.,duhallow,washed,chalky and smooth,"semi-soft, brined",yes,,25%,,,
83,ardsallagh-hard-goats-cheese,,white,ireland,,"nutty, salty, smooth",pasteurized goat's milk,ardsallagh goats farm,carrigtwohill,natural,firm and smooth,"semi-hard, artisan",yes,,,,,
84,ardsallagh-smoked-cheese,,white,ireland,,"mild, nutty, smokey , sweet",pasteurized goat's milk,ardsallagh goats farm,carrigtwohill,natural,firm and smooth,"semi-hard, artisan",yes,,,,,
85,ardsallagh-soft-goats-cheese,,white,,,,,,carrigtwohill,natural,,,yes,,,,,
86,armenian-string-cheese,nutty,white,armenia and syria,,"buttery, nutty, sharp","unpasteurized cow's, goat's or sheep's milk",sun-ni cheese,middle east,,"creamy, smooth and springy",semi-soft,no,"jibneh mshallaleh, syrian string cheese",,,,
87,aromes-au-gene-de-marc,"fermented, pungent",white,france,,strong,unpasteurized cow's and goat's milk,,rhône-alpes,natural,creamy and flaky,"semi-soft, artisan",no,,25%,,,
88,ascutney-mountain,"herbal, sweet",,united states,swiss cheese,"mild, nutty, sweet",unpasteurized cow's milk,cobb hill farm,vermont,natural,chewy and dense,"hard, artisan",yes,,,,,
89,asher-blue,"earthy, rich, strong",straw,united states,blue,"grassy, milky, mushroomy, salty, sweet, tangy",unpasteurized cow's milk,sweet grass dairy,georgia,natural,creamy and crumbly,"semi-soft, blue-veined",yes,,,,,
90,ashley,"clean, rich",cream,united states,brie,"citrusy, mushroomy",pasteurized cow's milk,"mouco cheese company, inc.",colorado,ash coated,soft,"soft, artisan, soft-ripened",,,12%,,,
91,asiago,pungent,yellow,italy,,"full-flavored, mild, milky, sharp",unpasteurized cow's milk,,"veneto, trentino",natural,"compact, crumbly, open and smooth",hard,no,,34-48%,,,
92,asiago-dallevo,nutty,pale yellow,italy,,"mild, sweet",unpasteurized cow's milk,caseificio pennar asiago,veneto,natural,"crumbly, grainy and open",hard,no,mezzano,34%,,,
93,asiago-pressato,fresh,white,italy,,"salty, sweet, tangy",unpasteurized cow's milk,caseificio pennar asiago,veneto,natural,creamy and smooth,semi-soft,no,asiago fresco,48%,pressato,,
94,aspen-ash,earthy,white,united states,,"acidic, creamy",pasteurized goat's milk,haystack mountain goat dairy,colorado,ash coated,creamy,"soft, soft-ripened",yes,,,,,
95,assa,,,,,,,,"tomales, california",natural,,,,,,,,
96,aubisque-pyrenees,,,france,,"mild, smooth",cow's and sheep's milk,,béarnaise in pyrénées-atlantique,natural,smooth,semi-hard,no,,,,,
97,aura,,pale yellow,finland,blue,"salty, sharp, strong, tangy",pasteurized cow's milk,valio,äänekoski,mold ripened,creamy,"semi-soft, blue-veined",no,auro gold,,,,
98,austrian-alps,"aromatic, nutty, spicy",,switzerland,,"nutty, spicy",pasteurized cow's milk,,,,smooth,,no,,,,,
99,autun,,white,france,,acidic,unpasteurized cow's and goat's milk,,burgundy,rindless,creamy,"fresh soft, artisan",no,,40-45%,,,
100,avaxtskyr,,,iceland,,,cow's milk,,,,,soft,yes,,10%,,,
101,avonlea-clothbound-cheddar,,straw,canada,cheddar,"fruity, mushroomy, savory",unpasteurized cow's milk,cows inc.,prince edward island,cloth wrapped,"creamy, crumbly and firm","hard, artisan",yes,,32%,,,
102,azeitao,,pale yellow,portugal,,"buttery, herbaceous, milky, salty, sour, strong",unpasteurized sheep's milk,,"setubal, palmela and sesimbra",washed,creamy and supple,"semi-soft, artisan",yes,queijo de azeitao,,,,
103,baby-brie,aromatic,,france,,"creamy, mild",pasteurized cow's milk,il de france,,bloomy,creamy,soft,no,,,,,
104,baby-swiss,,pale yellow,united states,swiss cheese,"nutty, sharp, sweet",pasteurized or unpasteurized cow's milk,guggisberg cheese,"charm, ohio",rindless,"creamy, open and smooth","semi-soft, processed",no,lacy cheese,43%,,,
105,babybel,,white,france,,"salty, sweet",pasteurized cow's milk,the laughing cow,,waxed,smooth,semi-hard,no,,69%,,,
106,bad-axe,fresh,white,united states,,"creamy, smooth, tart",pasteurized sheep's milk,hidden springs company,wisconsin,waxed,"creamy, firm and smooth","semi-hard, artisan",yes,,,,,
107,baguette-laonnaise,pungent,pale yellow,france,,spicy,pasteurized cow's milk,,ile-de-france/champagne,washed,open and supple,"soft, artisan",no,baguette lyonnaise,28.5%,,,
108,baita-friuli,rich,pale yellow,italy,,"fruity, spicy",unpasteurized cow's milk,,friuli-venezia giulia,natural,compact,firm,no,,,,,
109,baladi,fresh,white,lebanon,,"buttery, mild, salty, sweet","unpasteurized cow's, goat's and sheep's milk",la fromagerie polyethnique inc,,rindless,"creamy, dense and smooth","fresh soft, artisan",no,"jibneh khadra, jibnah baladi",22%,,,
110,balaton,,yellow,hungary,,"acidic, mild",cow's milk,,,natural,,semi-hard,no,,,,,
111,balfour,,,new zealand,,"nutty, sweet",sheep's milk,the gibbston valley cheese company,queenstown,natural,"crumbly, flaky and grainy",hard,no,,,,,
112,baluchon,"earthy, mild",ivory,canada,,"acidic, creamy, earthy, salty",cow's milk,fromageries jonathan,quebec,washed,creamy,semi-soft,no,le baluchon,28%,,,
113,bandal,strong,,india,cottage,"salty, smokey , strong",cow's milk,"k.c. das, private ltd, calcutta",kolkata,rindless,crumbly,"semi-soft, artisan",yes,,,bandel,,
114,banon,strong,white,france,,"fruity, strong, woody",unpasteurized goat's milk,"fromagerie de banon, fromagerie de montéglin, les capitelles",banon,leaf wrapped,"creamy, smooth and sticky","soft, artisan",no,,45%,,,
115,barambah-organics-marinated-feta,"herbal, mild, milky",white,australia,feta,"herbaceous, mild, milky",pasteurized cow's milk,barambah organics pty ltd.,brisbane,rindless,"creamy, crumbly and springy",fresh soft,yes,,25.22 g/100g,,,
116,barberey,mild,,france,,"pungent, woody",cow's milk,,"troyes , aube",natural,dry and soft,soft,no,"ash trojan, cheese troyes",20-30%,,,
117,barbers-1833,rich,ivory,england,cheddar,"savory, sweet",pasteurized cow's milk,aj & re barber ltd,somerset,rindless,"creamy, crumbly and smooth","hard, artisan",yes,"barbers 1833 vintage reserve cheddar, barbers 1833 cheddar",,,,
118,barden-blue,"barnyardy, herbal",yellow,united states,blue,"mild, nutty, spicy, tangy",unpasteurized cow's milk,consider bardwell farm,"west pawlet, vt",natural,"buttery, dense and open","semi-hard, artisan, blue-veined",no,,,,,
119,barely-buzzed,"aromatic, rich",pale yellow,united states,cheddar,"butterscotch, caramel",pasteurized cow's milk,beehive cheese company,utah,natural,creamy and smooth,"hard, artisan",yes,,,,,
120,barilotto,"buttery, fresh",pale yellow,italy,brie,"creamy, sharp",pasteurized buffalo's milk,casa madaio,campania,washed,firm,"hard, soft-ripened",no,,,,,
121,baron-bigod,"barnyardy, mushroom",yellow,"england, great britain and united kingdom",brie,"creamy, earthy, mushroomy",unpasteurized cow's milk,fen farm dairy,"bungay, suffolk",bloomy,"creamy, smooth, soft and soft-ripened","soft, artisan, soft-ripened",no,,,baron bigod brie,,
122,baronerosso-di-capra,"fruity, musty",white,italy,,"full-flavored, sharp",unpasteurized goat's milk,la casearia carpenedo s.r.l.,veneto,washed,crumbly and firm,semi-hard,no,,,baronerosso al barbera,,
123,barrel-aged-feta,rich,white,greece,feta,creamy,pasteurized goat's and sheep's milk,mt. vikos,mt. vikos,,creamy and crumbly,"soft, artisan",no,,11%,,,
124,barricato-al-pepe,spicy,ivory,italy,,"buttery, spicy",pasteurized cow's milk,"forever cheese, moro latteria di moro sergio",veneto,natural,crumbly,"semi-hard, artisan",,,,,,
125,barrys-bay-cheddar,,,new zealand,cheddar,,cow's milk,barry's bay,banks peninsular in canterbury,cloth wrapped,creamy,"hard, artisan",no,,,,,
126,bartlett,"aromatic, strong",white,"england, great britain and united kingdom",,"buttery, milky",unpasteurized sheep's milk,"neal's yard dairy, wootton organic dairy",somerset,mold ripened,dense and smooth,"soft, artisan",yes,,,,,
127,basajo,"pronounced, rich",cream,italy,blue,"sharp, sweet, tangy",unpasteurized sheep's milk,la casearia carpenedo s.r.l.,veneto,natural,creamy,"semi-soft, blue-veined",no,,,,,
128,baserri,"milky, nutty",,united states,tomme,"milky, tangy",sheep's milk,"barinaga ranch, inc.",,,creamy and crumbly,"semi-hard, artisan",,txiki,,,,
129,basils-original-rauchkase,smokey,pale yellow,germany,,"salty, smokey , spicy",pasteurized cow's milk,bergader privatkäserei gmbh,,natural,"compact, dense and soft",semi-soft,no,basil's smoked cheese,25.5%,,700 mg/100g,
130,basing,,,united kingdom,,"herbaceous, smooth",unpasteurized goat's milk,,kent,,crumbly,hard,yes,,,,,
131,baskeriu,"buttery, nutty, rich",,france,,"buttery, nutty",pasteurized sheep's milk,,"french basque country, midi-pyrénées",,dry and smooth,semi-soft,yes,,50%,,,
132,basket-cheese,milky,white,middle east,cottage,"mild, salty",pasteurized cow's milk,"specialty cheese company, inc",,rindless,chewy and supple,"soft, semi-soft",yes,,,,,
133,basket-molded-ricotta,fresh,white,united states,cottage,sweet,pasteurized cow's milk,lakin's gorges cheese llc,maine,natural,crumbly and firm,"fresh firm, whey",yes,,,,,
134,bassigny-au-porto,aromatic,yellow,belgium,,"acidic, buttery",unpasteurized cow's milk,,,washed,,semi-soft,no,langres,45%,,,
135,bath-blue,clean,cream,"england, great britain and united kingdom",blue,"creamy, strong",pasteurized cow's milk,bath soft cheese ltd,bath,natural,creamy and smooth,"soft, artisan, blue-veined",no,,,,,
136,bath-cheese,"aromatic, earthy, fresh, grassy",ivory,england and united kingdom,brie,"citrusy, lemony, mushroomy",pasteurized cow's milk,bath soft cheese ltd,"somerset, bath",bloomy,creamy,soft,yes,,,bath soft,,
137,batzos,pleasant,white,greece,,"piquant, salty, sour, spicy",pasteurized goat's or sheep's milk,,"central and western macedonia, thessaly",,dry,semi-hard,no,,20%,,,
138,bavaria-blu,"aromatic, rich",cream,germany,blue,"creamy, sharp, strong",pasteurized cow's milk,bergader privatkäserei gmbh,,mold ripened,creamy and soft,"soft, blue-veined",no,,43.3-26.5 g/100g,"bavaria blu rich & creamy, bavaria blu tasty blue, bavaria blu fitness, bavaria blu mini wheel",450 mg/100g,
139,bavarian-bergkase,"aromatic, rich",pale yellow,germany,,"full-flavored, nutty, spicy",unpasteurized cow's milk,,allgaeu alps,natural,"crumbly, firm and open","hard, artisan",no,"allgäuer bergkäse dop, allgauer bergkase",62%,bawarii bergkäse,,
140,bayley-hazen-blue,"grassy, spicy, strong",cream,united states,blue,"buttery, grassy, licorice, nutty, tangy",unpasteurized cow's milk,jasper hill farm,"greensboro, vt",natural,"creamy, dense and firm","semi-hard, artisan, blue-veined",no,,,,,
141,baylough,"herbal, mild",yellow,ireland,cheddar,"herbaceous, mild, smokey",unpasteurized cow's milk,bay lough cheese,co. tipperary,waxed,close and firm,"hard, artisan",yes,,,bay lough,,
142,beach-box-brie,rich,golden yellow,australia,brie,creamy,cow's milk,boatshed cheese,"mornington peninsula, melbourne",ash coated,creamy,artisan,yes,,,,,
143,bear-hill,,pale yellow,united states,,"fruity, mild, milky, nutty, sweet",unpasteurized sheep's milk,grafton village cheese company,vermont,washed,smooth,"semi-hard, smear-ripened",,,,,,
144,beaufort,"aromatic, pungent",pale yellow,france,gruyere,strong,unpasteurized cow's milk,entremont,"savoie, french alps",,creamy and smooth,firm,no,,34%,,,
